From Website,Location,AQI
Gulf ES (4315) 85,Gulf ES (4315) ,85
Broad Ave ES (2527) 81,Broad Ave ES (2527) ,81
Point Fermin Magnet ES (6137) 81,Point Fermin Magnet ES (6137) ,81
Cabrillo ES (2685) 80,Cabrillo ES (2685) , 80
Palms ES (5986) 80,Palms ES (5986) , 80
President ES (6148) 80,President ES (6148) , 80
Weigand ES (7634) 78,Weigand ES (7634) , 78
42nd St ES (3959) 77,42nd St ES (3959) , 77
Compton ES (3205) 77,Compton ES (3205) , 77
Hamilton HS (8686) 77,Hamilton HS (8686) , 77
La Salle ES (4786) 77,La Salle ES (4786) , 77
Normandie ES (5630) 77,Normandie ES (5630) , 77
Small World Learning Center 77,Small World Learning Center ,77
Taper ES (7035) 77,Taper ES (7035) , 77
Wilmington Pk ES (7781) 77,Wilmington Pk ES (7781) , 77
Woll Drive 77,Woll Drive ,77
122nd St ES (5887) 75,122nd St ES (5887) , 75
Budlong ES (2616) 75,Budlong ES (2616) , 75
Woodcrest ES (7863) 75,Woodcrest ES (7863) , 75
Avalon Gardens ES (2247) 74,Avalon Gardens ES (2247) , 74
Crescent Hts Bl EEC (9597) 74,Crescent Hts Bl EEC (9597) , 74
Graham ES (4219) 74,Graham ES (4219) , 74
South Shores Magnet ES (6870) 74,South Shores Magnet ES (6870) , 74
Virginia ES (7575) 74,Virginia ES (7575) , 74
"Knox ES, Dr Owen Lloyd (6869) 73","Knox ES, Dr Owen Lloyd (6869) ", 73
59th St ES (3795) 72,59th St ES (3795) , 72
7th St ES (6616) 72,7th St ES (6616) , 72
Ken Malloy Harbor Regional Park 72,Ken Malloy Harbor Regional Park ,72
Marvin ES (5178) 72,Marvin ES (5178) , 72
Osage Avenue 72,Osage Avenue ,72
Point Fermin 72,Point Fermin ,72
Russell ES (6438) 72,Russell ES (6438) , 72
West 52nd Street 72,West 52nd Street ,72
Grand View ES (4247) 71,Grand View ES (4247) , 71
Marlton ES (1949) 71,Marlton ES (1949) , 71
W 14th St & S Meyler 71,W 14th St & S Meyler ,71
5261 Thornburn St 70,5261 Thornburn St ,70
Estrella ES (2942) 70,Estrella ES (2942) , 70
Lenicia Weemes ES (7151) 70,Lenicia Weemes ES (7151) , 70
Pacific Palisades ES (5959) 70,Pacific Palisades ES (5959) , 70
Westport Hts ES (7712) 70,Westport Hts ES (7712) , 70
6649-6701 W 88th St 69,6649-6701 W 88th St ,69
Harbor Christian School 69,Harbor Christian School ,69
Truxton 69,Truxton ,69
Upland Avenue 69,Upland Avenue ,69
Delgany Ave in Playa 68,Delgany Ave in Playa ,68
Diego Rivera LC (8867) 68,Diego Rivera LC (8867) , 68
Grand View Boulevard 68,Grand View Boulevard ,68
Mid-City Magnet ES (3500) 68,Mid-City Magnet ES (3500) , 68
Resurrection Catholic School 68,Resurrection Catholic School ,68
Webster MS (8481) 68,Webster MS (8481) , 68
Westchester 68,Westchester ,68
Westchester-Kentwood South 68,Westchester-Kentwood South ,68
Wilmington 2 68,Wilmington 2 ,68
8360 Chase Ave 67,8360 Chase Ave ,67
Kent's yard 67,Kent's yard ,67
Ashwood Avenue 66,Ashwood Avenue ,66
Canfield ES (2740) 66,Canfield ES (2740) , 66
Loyola Village ES (5014) 66,Loyola Village ES (5014) , 66
Playa Del Rey ES (6110) 66,Playa Del Rey ES (6110) , 66
Revere MS (8356) 66,Revere MS (8356) , 66
Trinity ES (7219) 66,Trinity ES (7219) , 66
Walgrove ES (7603) 66,Walgrove ES (7603) , 66
Wilshire Crest ES (7795) 66,Wilshire Crest ES (7795) , 66
Windsor Magnet ES (7822) 66,Windsor Magnet ES (7822) , 66
Leavey 5 65,Leavey 5 ,65
Rose Avenue 65,Rose Avenue ,65
Westwood ES (7740) 65,Westwood ES (7740) , 65
Village Green 64,Village Green ,64
Brentwood Sci Mag ES (2507) 63,Brentwood Sci Mag ES (2507) , 63
Hancock Park ES (4397) 63,Hancock Park ES (4397) , 63
Kenter Canyon ES (4699) 63,Kenter Canyon ES (4699) , 63
Lake Shrine 63,Lake Shrine ,63
Mar Vista 63,Mar Vista ,63
Palms 63,Palms ,63
Stanley Avenue 63,Stanley Avenue ,63
Westminster ES (7699) 63,Westminster ES (7699) , 63
10380 Glenbarr Avenue 62,10380 Glenbarr Avenue ,62
Jefferson HS (8714) 62,Jefferson HS (8714) , 62
Villa Marina Townhomes 62,Villa Marina Townhomes ,62
3974 W Florence Ave 61,3974 W Florence Ave ,61
Baldwin Hills 61,Baldwin Hills ,61
Brockton ES (2548) 61,Brockton ES (2548) , 61
CCA - Whitsett Avenue 61,CCA - Whitsett Avenue ,61
Glenmont Avenue 61,Glenmont Avenue ,61
Rowan ES (6425) 61,Rowan ES (6425) , 61
Esperanza ES (2383) 60,Esperanza ES (2383) , 60
Huntington Palisades 60,Huntington Palisades ,60
Plaza Community Services La Roca Verde 60,Plaza Community Services La Roca Verde ,60
San Pedro ES (6507) 60,San Pedro ES (6507) , 60
Calle de Madrid 59,Calle de Madrid ,59
Playa Vista 59,Playa Vista ,59
Garfield HS/Monterey CHS (8677) 58,Garfield HS/Monterey CHS (8677) , 58
Carey Street 57,Carey Street ,57
Hancock Park 57,Hancock Park ,57
Lindenhurst and Crescent Heights 57,Lindenhurst and Crescent Heights ,57
Norwood ES (5699) 57,Norwood ES (5699) , 57
1302 N Poinsettia Pl 56,1302 N Poinsettia Pl ,56
Brentwood School West Campus 56,Brentwood School West Campus ,56
Overland Avenue 56,Overland Avenue ,56
9th & Flower 55,9th & Flower ,55
Brentwood School East Campus 55,Brentwood School East Campus ,55
CCA - North La Brea Avenue 55,CCA - North La Brea Avenue ,55
Comstock-Dunkirk 55,Comstock-Dunkirk ,55
Crescent Park W 55,Crescent Park W ,55
Los Feliz ES (4986) 54,Los Feliz ES (4986) , 54
N Main St 54,N Main St ,54
Rosemont ES (6370) 54,Rosemont ES (6370) , 54
Van Ness ES (7425) 54,Van Ness ES (7425) , 54
West Hollywood 54,West Hollywood ,54
"Bellagio Rd, Los Angeles, CA 53","Bellagio Rd, Los Angeles, CA ",53
Corona-Norco YMCA 53,Corona-Norco YMCA ,53
Farlin Street 53,Farlin Street ,53
Playa del Rey 53,Playa del Rey ,53
Atwater ES (2233) 52,Atwater ES (2233) , 52
Oak Hill Avenue 52,Oak Hill Avenue ,52
Stagg ES (6890) 52,Stagg ES (6890) , 52
Vedanta Courtyard 52,Vedanta Courtyard ,52
Warner ES (7616) 52,Warner ES (7616) , 52
Westwood 52,Westwood ,52
Dowlen Drive 51,Dowlen Drive ,51
Moraga Drive 51,Moraga Drive ,51
Meadow Valley Terrace 50,Meadow Valley Terrace ,50
Frank Del Olmo ES (2386) 49,Frank Del Olmo ES (2386) , 49
Cedarhurst Circle 47,Cedarhurst Circle ,47
Glenwood ES (4192) 46,Glenwood ES (4192) , 46
Norris Avenue 46,Norris Avenue ,46
Yucca Street 46,Yucca Street ,46
CCA Bates and Sunset 44,CCA Bates and Sunset ,44
Harvard-Westlake Middle School 44,Harvard-Westlake Middle School ,44
Roybal LC (8544) 44,Roybal LC (8544) , 44
Silver Lake 44,Silver Lake ,44
Central Belden Drive 43,Central Belden Drive ,43
Mellon Avenue 43,Mellon Avenue ,43
Wilshire Blvd 43,Wilshire Blvd ,43
Bryn Mawr Drive 42,Bryn Mawr Drive ,42
Glassell Park 42,Glassell Park ,42
North Citrus Avenue 42,North Citrus Avenue ,42
University of California Outside 42,University of California Outside ,42
Logan ES (4904) 41,Logan ES (4904) , 41
Nomad Drive 41,Nomad Drive ,41
Sheridan St ES (6685) 41,Sheridan St ES (6685) , 41
Stonehurst ES (6945) 41,Stonehurst ES (6945) , 41
Stone Canyon Avenue 40,Stone Canyon Avenue ,40
306 North Avenue 50 - outside 39,306 North Avenue 50 - outside ,39
Fernangeles ES (3753) 39,Fernangeles ES (3753) , 39
Metropolitan HS (8757) 39,Metropolitan HS (8757) , 39
Utah ES (7370) 39,Utah ES (7370) , 39
Wonderland ES (7849) 39,Wonderland ES (7849) , 39
Baltimore Street 38,Baltimore Street ,38
Nichols Canyon Road 38,Nichols Canyon Road ,38
Toluca Lake ES (7192) 38,Toluca Lake ES (7192) , 38
11060 Norris Ave 37,11060 Norris Ave ,37
511 North Kenter Avenue 37,511 North Kenter Avenue ,37
CCA Avenida Bonita and Villa Del Sol 37,CCA Avenida Bonita and Villa Del Sol ,37
CCA Borden and Carl 37,CCA Borden and Carl ,37
NASA - Terrace 49 37,NASA - Terrace 49 ,37
11101-11117 Ventura Blvd 36,11101-11117 Ventura Blvd ,36
875 Terrace 49 36,875 Terrace 49 ,36
Colfax ES (3164) 36,Colfax ES (3164) , 36
Glenfeliz Blvd ES (4164) 36,Glenfeliz Blvd ES (4164) , 36
Harding ES (4431) 36,Harding ES (4431) , 36
Laurel ES (4808) 36,Laurel ES (4808) , 36
Riverside Drive 36,Riverside Drive ,36
Harrison ES (4438) 35,Harrison ES (4438) , 35
Maclay MS (8228) 35,Maclay MS (8228) , 35
Scandia Way 35,Scandia Way ,35
2853-2841 N Beverly Glen Blvd 34,2853-2841 N Beverly Glen Blvd ,34
Aragon ES (2178) 34,Aragon ES (2178) , 34
CCA Haddon and Weidner 34,CCA Haddon and Weidner ,34
Hill Drive 34,Hill Drive ,34
Huntington 34,Huntington ,34
Naturhus W Avenue 37 34,Naturhus W Avenue 37 ,34
Solano ES (6836) 34,Solano ES (6836) , 34
Tropico Way 34,Tropico Way ,34
4704 St Clair Ave 33,4704 St Clair Ave ,33
Ackerman Drive 33,Ackerman Drive ,33
Buchanan ES (2603) 33,Buchanan ES (2603) , 33
CCA Kewen and Van Nuys 33,CCA Kewen and Van Nuys ,33
Camden Avenue 33,Camden Avenue ,33
Central Los Angeles 33,Central Los Angeles ,33
Green Verdugo Drive 33,Green Verdugo Drive ,33
Media District 33,Media District ,33
El Sereno ES (3562) 32,El Sereno ES (3562) , 32
Halsted Street 32,Halsted Street ,32
Mt. Washington School 32,Mt. Washington School ,32
Multnomah St ES (5425) 32,Multnomah St ES (5425) , 32
Rim Canyon Road 32,Rim Canyon Road ,32
Springvale 32,Springvale ,32
Sun Valley 32,Sun Valley ,32
Sunland Boulevard 32,Sunland Boulevard ,32
17489 Tuscan Dr 31,17489 Tuscan Dr ,31
8500 Louise Avenue 31,8500 Louise Avenue ,31
Bel Air Hills 31,Bel Air Hills ,31
CCA Castle Peak and Sunset Ridge 31,CCA Castle Peak and Sunset Ridge ,31
CSUN Live Oak 31,CSUN Live Oak ,31
Eagle Rock ES (3507) 31,Eagle Rock ES (3507) , 31
Monlux ES (5342) 31,Monlux ES (5342) , 31
Toluca Lake 31,Toluca Lake ,31
Woodland Hills 2 31,Woodland Hills 2 ,31
Kester Avenue 30,Kester Avenue ,30
La Fayette PP / Marathon 30,La Fayette PP / Marathon ,30
Sierra Park ES (6753) 30,Sierra Park ES (6753) , 30
VVAMPLincoln2 30,VVAMPLincoln2 ,30
Aleman Drive 29,Aleman Drive ,29
Arroyo Seco Magnet SPAN (4322) 29,Arroyo Seco Magnet SPAN (4322) , 29
Fair Avenue 29,Fair Avenue ,29
Northridge 29,Northridge ,29
Parthenia Street 29,Parthenia Street ,29
Riverwood ranch 29,Riverwood ranch ,29
Vulcan Drive 29,Vulcan Drive ,29
Westland School 29,Westland School ,29
4124 Fulton Ave 28,4124 Fulton Ave ,28
CCA Crownridge and Royal Woods 28,CCA Crownridge and Royal Woods ,28
Chandler ES (2959) 28,Chandler ES (2959) , 28
Dyer ES (3493) 28,Dyer ES (3493) , 28
Hazen Drive 28,Hazen Drive ,28
Lockhurst Drive 28,Lockhurst Drive ,28
Porter Ranch 28,Porter Ranch ,28
Sierra Vista ES (6767) 28,Sierra Vista ES (6767) , 28
Woodland Hills 28,Woodland Hills ,28
Byrd MS (8080) 27,Byrd MS (8080) , 27
Cohasset ES (3137) 27,Cohasset ES (3137) , 27
"Encino, Luverne Pl 27","Encino, Luverne Pl ",27
Lincoln and Ave 51 27,Lincoln and Ave 51 ,27
Lowman Sp Ed Ctr (1948) 27,Lowman Sp Ed Ctr (1948) , 27
Rio Vista ES (6288) 27,Rio Vista ES (6288) , 27
San Pascual ES (6493) 27,San Pascual ES (6493) , 27
Sharp ES (6665) 27,Sharp ES (6665) , 27
Tacuba Street 27,Tacuba Street ,27
Ranchito ES (6192) 26,Ranchito ES (6192) , 26
Roscomare ES (6363) 26,Roscomare ES (6363) , 26
Kittridge ES (4760) 25,Kittridge ES (4760) , 25
Nevada ES (5459) 25,Nevada ES (5459) , 25
Anatola ES (2110) 24,Anatola ES (2110) , 24
Brainard ES (2486) 24,Brainard ES (2486) , 24
Calabash ES (2704) 24,Calabash ES (2704) , 24
Calvert ES (2712) 24,Calvert ES (2712) , 24
Herrick Ave 24,Herrick Ave ,24
Mayall ES (5198) 24,Mayall ES (5198) , 24
Porter Ranch Cmty Sch (2303) 24,Porter Ranch Cmty Sch (2303) , 24
Verdugo Hills HS (8914) 24,Verdugo Hills HS (8914) , 24
Wilbur ES (7774) 24,Wilbur ES (7774) , 24
Andasol ES (2117) 23,Andasol ES (2117) , 23
Canterbury Ave ES (2781) 23,Canterbury Ave ES (2781) , 23
Hesby Oaks SPAN (4521) 23,Hesby Oaks SPAN (4521) , 23
Napa ES (5446) 23,Napa ES (5446) , 23
ORR Sullivan Canyon 23,ORR Sullivan Canyon ,23
Topeka Dr ES (7201) 23,Topeka Dr ES (7201) , 23
Woodland Hills ES (7890) 23,Woodland Hills ES (7890) , 23
Danube ES (3335) 22,Danube ES (3335) , 22
Harvard-Westlake Upper School 2 22,Harvard-Westlake Upper School 2 ,22
Kester ES (4726) 22,Kester ES (4726) , 22
Parthenia ES (6027) 22,Parthenia ES (6027) , 22
Stone Canyon 22,Stone Canyon ,22
Sunny Brae ES (6986) 22,Sunny Brae ES (6986) , 22
Sylmar 22,Sylmar ,22
Alta California ES (7398) 21,Alta California ES (7398) , 21
Chatsworth HS (8583) 21,Chatsworth HS (8583) , 21
Hamlin ES (4349) 21,Hamlin ES (4349) , 21
Lassen ES (4790) 21,Lassen ES (4790) , 21
Monroe HS (8768) 21,Monroe HS (8768) , 21
Mulholland MS (8259) 21,Mulholland MS (8259) , 21
Nestle ES (5452) 21,Nestle ES (5452) , 21
North Valley OC (9329) 21,North Valley OC (9329) , 21
Rinaldi Adult Center (9365) 21,Rinaldi Adult Center (9365) , 21
Vintage Math/Sci Mag ES (7562) 21,Vintage Math/Sci Mag ES (7562) , 21
Knollwood ES (4762) 20,Knollwood ES (4762) , 20
Mosk ES (7402) 20,Mosk ES (7402) , 20
Castlebay Ln ES (2881) 19,Castlebay Ln ES (2881) , 19
Taft HS (8880) 18,Taft HS (8880) , 18
Van Gogh ES (7422) 18,Van Gogh ES (7422) ,18
3173 17 Mile Dr 17,3173 17 Mile Dr ,17
Mountain Gate 17,Mountain Gate ,17
Pagoda Place 17,Pagoda Place ,17
Granada Hills - North 6,Granada Hills - North,6
Jolette Ave x Westbury Dr 6,Jolette Ave x Westbury Dr,6
Lorenzana 6,Lorenzana,6
